dummy,dummy,dummy,2015,2016,2017,2018,2019,2020
MLT,PC,ETH,0.083809375,0.082521875,0.086109375,0.0921125,0.094925,0.09170625
MEX,PC,ETH,0,0,0,0,0,0
MAR,PC,ETH,0,0,0,0,0,0
NLD,PC,ETH,0.1419,0.1206,0.1289,0.1769,0.2013,0.2302
NGA,PC,ETH,0.0065,0.00608333333333333,0.00475,0.00725,0.00751666666666667,0.00751666666666667
POL,PC,ETH,0.1535,0.1677,0.1762,0.1728,0.1873,0.183
PRT,PC,ETH,0.0213,0.0252,0.0029,0.0056,0.0082,0.0064
ROU,PC,ETH,0.0615,0.0813,0.0911,0.0904,0.0978,0.0916
RUS,PC,ETH,0.0351,0.0384,0.0465,0.0372,0.0881,0.0511
SAU,PC,ETH,0,0,0,0,0,0
SVK,PC,ETH,0.0229,0.0155,0.0196,0.0176,0.0198,0.0259
SVN,PC,ETH,0.0059,0.0039,0.0035,0.0068,0.0044,0.0083
ZAF,PC,ETH,0.0065,0.00608333333333333,0.00475,0.00725,0.00751666666666667,0.00751666666666667
ESP,PC,ETH,0.1907,0.1349,0.1387,0.1546,0.1309,0.0868
SWE,PC,ETH,0.1401,0.1086,0.1024,0.1285,0.1008,0.1062
TUN,PC,ETH,0,0,0,0,0,0
TUR,PC,ETH,0.0464,0.0499,0.054,0.0526,0.0532,0.0364
GBR,PC,ETH,0.4049,0.3863,0.3831,0.387,0.3825,0.3043
USA,PC,ETH,30.3801,31.2342,32.5052,32.3965,32.683,28.4558
RAS,PC,BGDO,3.1396037037037,4.2944962962963,4.33623703703704,5.35645555555555,6.8858,8.25383333333334
RWO,PC,BGDO,0.0078,0.0078,0.0078,0.0051,0.0059,0.0037
REU,PC,BGDO,0.10135,0.2087,0.2618,0.285575,0.324725,0.2708
REP,PC,BGDO,0.148057142857143,0.150510714285714,0.162617857142857,0.187575,0.200346428571429,0.187075
RAF,PC,BGDO,0,0,0,0,0,0
RLA,PC,BGDO,4.40492857142857,4.50746785714286,4.75124642857143,5.452525,5.75811071428571,5.311875
ARG,PC,BGDO,0.8649,0.9221,1.0445,0.979,1.0117,0.444
OCE,PC,BGDO,0.387211111111111,0.493488888888889,0.436611111111111,0.566566666666667,0.7947,0.9763
AUT,PC,BGDO,0.6059,0.4965,0.4339,0.4473,0.4392,0.3643
BEL,PC,BGDO,0.2216,0.399,0.3844,0.3665,0.3575,0.5744
BRA,PC,BGDO,2.5083,2.4786,2.7541,3.4649,3.7982,4.1273
BGR,PC,BGDO,0.114,0.1302,0.1396,0.135,0.1476,0.1456
CAN,PC,BGDO,0.429,0.4527,0.5599,0.5845,0.5116,0.5273
