dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MLT,BM,GSL,1467.6832,1648.1855,1679.7873,1689.2006,1703.3407,1544.5783,1386.9361,1456.1095,1456.1095,1456.1095,1456.1095,1456.1095
MEX,BM,GSL,781.1581,842.4853,899.8718,968.147,1030.8266,1049.9238,1033.7294,1161.7798,1240.3096,1296.7511,1164.7065,1230.1801
MAR,BM,GSL,1419.1849,1399.0461,1643.1157,1593.2422,1613.6679,1274.7109,1307.7284,1352.7492,1313.1118,1338.9514,1188.6436,1323.2686
NLD,BM,GSL,2294.4034,2446.1863,2560.5896,2465.8873,2397.8566,2178.2173,2058.4297,2134.0788,2187.0012,2169.5179,2031.4815,2297.7767
NGA,BM,GSL,676.5466,610.3811,834.524,748.2812,692.4523,569.7358,658.8957,704.4786,628.4671,565.9207,507.6805,489.0573
POL,BM,GSL,1644.0622,1776.1594,1907.511,1816.121,1747.5622,1547.4446,1466.6978,1513.6621,1600.6779,1584.6296,1359.07,1607.1818
PRT,BM,GSL,2054.2513,2232.2419,2306.1963,2212.8573,2141.8723,2001.4403,1920.2198,2005.3555,2088.1212,2017.5576,1876.9973,2161.5793
ROU,BM,GSL,1620.4557,1795.5645,1894.6932,1809.5158,1884.7424,1680.029,1559.9234,1510.1458,1664.7088,1594.0623,1303.3455,1537.7945
RUS,BM,GSL,702.5825,729.6788,742.0172,769.5277,769.6029,705.4177,690.6923,705.4728,771.7692,769.6051,760.5723,744.8181
SAU,BM,GSL,205.8084,194.4777,216.0025,182.6081,178.6138,226.8522,272.0558,298.8298,443.5669,668.6119,262.3766,683.0146
SVK,BM,GSL,1902.2034,2125.0409,2194.4578,2096.663,2068.1336,1827.411,1726.2755,1808.9062,1862.7896,1769.7737,1543.4045,1752.8266
SVN,BM,GSL,1780.9002,1878.6348,2093.1913,2072.7864,2016.0276,1799.1659,1671.5507,1751.4674,1792.6759,1714.2314,1426.5896,1594.2987
ZAF,BM,GSL,1038.5244,1201.0698,1320.9278,1415.863,1429.0825,1225.7667,1166.5883,1200.3764,1300.205,1274.0563,1157.1562,1316.8743
ESP,BM,GSL,1734.4624,1904.0976,2006.2107,1988.4165,1929.509,1716.5191,1612.8101,1673.9485,1743.0187,1741.6491,1586.3629,1799.0378
SWE,BM,GSL,2016.9225,2101.2761,2212.1084,2140.7898,2119.703,1975.7695,1924.7026,2029.5757,2192.4072,2214.9029,1971.8961,1907.4983
TUN,BM,GSL,1093.8881,1059.5581,1065.7075,1102.117,1120.4868,1072.8792,1022.905,1030.2071,987.4101,1061.5244,931.9108,927.6402
TUR,BM,GSL,2491.5932,2666.9,2628.0254,2598.6982,2408.3763,2089.3716,1961.6928,2064.1582,2091.8947,1973.7683,1666.4187,1709.2627
