dummy,dummy,dummy,2015,2016,2017,2018
DEU,PC,BGDO,1.9075,1.9104,1.9539,1.9545
GRC,PC,BGDO,0.1606,0.1678,0.1688,0.1649
HUN,PC,BGDO,0.1326,0.1433,0.1191,0.1424
NSI,PC,BGDO,0.18835,0.3841,0.631133333333333,0.525825
IND,PC,BGDO,0.0378,0.0563,0.0649,0.0782
IDN,PC,BGDO,0.5195,2.0489,1.7767,2.6758
IRN,PC,BGDO,0,0,0,0
IRL,PC,BGDO,0.0983,0.0858,0.1311,0.127
ISR,PC,BGDO,0,0,0,0
ITA,PC,BGDO,1.1418,1.0083,1.0287,1.2171
JPN,PC,BGDO,0.0132,0.0114,0.0116,0.011
KOR,PC,BGDO,0.4182,0.4951,0.5281,0.6413
LVA,PC,BGDO,0.0133,9e-04,9e-04,0.0276
LTU,PC,BGDO,0.0566,0.0486,0.0616,0.068
LUX,PC,BGDO,0.0733,0.0776,0.1028,0.1087
MLT,PC,BGDO,0.0067,0.0066,0.0074,0.0101
MEX,PC,BGDO,0,0,0,0
MAR,PC,BGDO,0,0,0,0
NLD,PC,BGDO,0.167,0.1273,0.1909,0.353
NGA,PC,BGDO,0,0,0,0
POL,PC,BGDO,0.4999,0.2897,0.4287,0.7396
PRT,PC,BGDO,0.3137,0.2439,0.2475,0.2644
ROU,PC,BGDO,0.141,0.1759,0.2062,0.2066
RUS,PC,BGDO,0.0013,0.0013,0.0013,0.00085
SAU,PC,BGDO,0,0,0,0
SVK,PC,BGDO,0.121,0.1292,0.1299,0.1324
SVN,PC,BGDO,0.0229,0.0141,0.0208,0.066
ZAF,PC,BGDO,0,0,0,0
ESP,PC,BGDO,0.8061,0.9992,1.1709,1.5543
SWE,PC,BGDO,0.7576,1.0164,1.3066,1.4043
TUN,PC,BGDO,0,0,0,0
TUR,PC,BGDO,0.0651,0.0604,0.0632,0.1028
GBR,PC,BGDO,0.5294,0.5596,0.5507,0.9007
USA,PC,BGDO,5.1853,6.9994,6.3807,5.6621
RAS,PC,ELC,0.0173646824158337,0.0178839510874276,0.0189935581152721,0.0210587383177022
RWO,PC,ELC,0.00785148935860898,0.00801562955264934,0.00809005945859066,0.00936499041784335
REU,PC,ELC,0.0015358634029938,0.00144964732289537,0.00111682858356535,0.00121231989490018
REP,PC,ELC,0.00556600908972468,0.00567325136862781,0.00585650493269168,0.00643872669375864
RAF,PC,ELC,0.0224470284887607,0.0231182782349674,0.0245526482953517,0.0272222714838589
RLA,PC,ELC,0.0201571068157292,0.0199870211633119,0.0198081997279413,0.0196204476505603
ARG,PC,ELC,0.00039523738854371,0.000391902375751214,0.000388396073096889,0.000384714659814907
OCE,PC,ELC,0.00254117303646347,0.00261716357376989,0.00277954509003982,0.00308176658307837
AUT,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
BEL,PC,ELC,0.000232399490225907,0.000471316062343871,0.000766664728451751,0.00116657594242066
BRA,PC,ELC,0.00039523738854371,0.000391902375751214,0.000388396073096889,0.000384714659814907
BGR,PC,ELC,0.00137520915144272,0.0012960027100271,0.00111110201216659,0.000924008803931619
CAN,PC,ELC,0,0,0,0
CHA,PC,ELC,0.00169411535764231,0.0017447757158466,0.00185303006002655,0.00205451105538558
HRV,PC,ELC,0,0,0,2.3322005097706e-05
CYP,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
CZE,PC,ELC,0.00175388906444553,0.00209213803683736,0.00229559867732413,0.00239338446116292
DNK,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
EGY,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
EST,PC,ELC,0.000519375391685816,0.000462572075782537,0.000449725817065146,0.00050373262891926
FIN,PC,ELC,0.00010368783050496,0.000227148330596606,0.000451214920791219,0.000942035385204157
FRA,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
DEU,PC,ELC,0.00101805909149976,0.00136439825678847,0.00190204036897055,0.0026960665856555
GRC,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
HUN,PC,ELC,0.000571205942556472,0.000732317711640082,0.000745072294409876,0.000930433420203114
NSI,PC,ELC,0,0,0,0
IND,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
IDN,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
IRN,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
IRL,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
ISR,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
ITA,PC,ELC,0.00294941249576943,0.00291224338205589,0.00339692933699578,0.00397615852347613
JPN,PC,ELC,0,0,0,0
KOR,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
LVA,PC,ELC,0.000290178465902376,0.000306451809430974,0.000300876270592359,0.000301661516935813
LTU,PC,ELC,0.000254681777347799,0.000219562021898905,0.000184480311740793,0.000179013709310636
LUX,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
MLT,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
MEX,PC,ELC,0,0,0,0
MAR,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
NLD,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
NGA,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
POL,PC,ELC,0.000229819722099734,0.000237715890860155,0.000215663869129331,0.000201070037494968
PRT,PC,ELC,1.6813544340672e-05,1.79973146276191e-05,3.57446096687429e-05,9.76033955303743e-05
ROU,PC,ELC,0.00140113012036878,0.00111130922541222,0.00103584678481394,0.00106294992221039
RUS,PC,ELC,0.000511954467664601,0.000483215774298458,0.000372276194521785,0.000404106631633393
SAU,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
SVK,PC,ELC,0.000298754930013147,0.000305801836175033,0.000315716811587182,0.000313225274331206
SVN,PC,ELC,0,0,2.59129433677934e-06,2.29500269263318e-06
ZAF,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
ESP,PC,ELC,0.000711301347492795,0.000772186522093357,0.000914021016156361,0.0010893739994016
SWE,PC,ELC,0,0,0,0
TUN,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
TUR,PC,ELC,0,0,0,0
GBR,PC,ELC,0.00178880723666721,0.0021423827332036,0.00324311018277033,0.00389519537465172
USA,PC,ELC,0.000423528839410579,0.000436193928961649,0.000463257515006637,0.000513627763846394
RAS,PC,GDO,277.709572424132,287.675089234679,297.751721171025,292.70725598035
RWO,PC,GDO,161.854445617797,169.685069925271,175.437291317956,169.654914429889
REU,PC,GDO,88.1388861156635,93.5987289781862,93.8275241853408,103.449329622584
REP,PC,GDO,45.2363771664637,45.3057657125605,48.5548824712987,49.4585726436981
RAF,PC,GDO,27.4879528588225,28.3718688994313,30.3838481369068,30.936889053216
RLA,PC,GDO,143.626234314886,145.368411529607,151.389362791332,145.086981433712
ARG,PC,GDO,3.07004148261109,3.1077859333273,3.22235108657122,3.08091594456336
OCE,PC,GDO,56.1738407144155,58.5930256330682,60.8514923408122,61.7780093743654
AUT,PC,GDO,20.0836084015458,21.6441597971614,22.5717590080351,21.7860203708393
BEL,PC,GDO,21.5007185027452,20.1510953894258,18.8345542301267,17.9885407225232
BRA,PC,GDO,3.07004148261109,3.1077859333273,3.22235108657122,3.08091594456336
BGR,PC,GDO,24.3375545667569,25.4639289597551,26.3015748041153,24.9794328004763
CAN,PC,GDO,7.76670774080789,8.24711604326487,8.63903486520915,9.47140059105954
CHA,PC,GDO,7.41327016693701,8.1788522446458,9.81009906903275,9.33892716809035
HRV,PC,GDO,7.12877850217533,7.62484045657797,8.28059075268632,7.19495410117602
CYP,PC,GDO,24.3375545667569,25.4639289597551,26.3015748041153,24.9794328004763
CZE,PC,GDO,24.3375545667569,25.4639289597551,26.3015748041153,24.9794328004763
DNK,PC,GDO,5.9736214266022,6.1739719413201,6.46100876543532,6.93957452060158
EGY,PC,GDO,3.82845382628197,3.83009837204722,4.11549435427191,4.20561556930978
EST,PC,GDO,1.75793119575609,1.69500753417218,1.56088823209036,1.31403023915709
FIN,PC,GDO,4.3848707568225,6.03936259405536,5.21467083961207,5.46267726021964
FRA,PC,GDO,95.3862457772487,95.1792285083587,92.7245740328775,85.8112567094541
DEU,PC,GDO,125.235555082122,132.173370254359,145.102934191527,130.04854712373
GRC,PC,GDO,24.3375545667569,25.4639289597551,26.3015748041153,24.9794328004763
HUN,PC,GDO,3.88861264814418,3.90543315996392,4.38601715072294,4.76823799361196
NSI,PC,GDO,36.3255613555845,37.1673660203533,36.2497621147083,39.0228427877454
IND,PC,GDO,6.77340420546663,7.01646559108974,7.26223710173232,7.13920136537439
IDN,PC,GDO,6.77340420546663,7.01646559108974,7.26223710173232,7.13920136537439
IRN,PC,GDO,3.82845382628197,3.83009837204722,4.11549435427191,4.20561556930978
IRL,PC,GDO,7.7813452151244,8.66399790602515,8.53880341010849,8.86575183147141
ISR,PC,GDO,5.30958996092006,5.236330563499,5.63893942300154,5.89002418445121
ITA,PC,GDO,24.3375545667569,25.4639289597551,26.3015748041153,24.9794328004763
