dummy,dummy,2015,2016,2017,2018,2019,2020,2021
CUW,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
CXR,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
CXR,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CXR,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
CYM,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
CYM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CYM,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
CYP,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
CYP,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CYP,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
CZE,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
CZE,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CZE,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
DEU,KM_VEH,  98300.000,  98300.000,  88900.000,  90700.000,  91800.000,  88200.000,  92600.000
DEU,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
DEU,KM_VEH_TRUCK, 649600.000, 649600.000, 642800.000, 642200.000, 644800.000, 578100.000, 582400.000
DJI,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
DJI,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
DJI,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
DMA,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
DMA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
DMA,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
DNK,KM_VEH,   9246.000,   9246.000,   9358.000,   9320.000,   9190.000,   8847.000,   9257.000
DNK,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
DNK,KM_VEH_TRUCK,  39858.000,  39858.000,  40568.000,  41222.000,  41883.000,  38704.000,  40313.000
DOM,KM_VEH,  12897.000,  12897.000,  13281.000,  13281.000,  13281.000,  13281.000,  13281.000
DOM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
DOM,KM_VEH_TRUCK,  43451.000,  43451.000,  48716.000,  48716.000,  48716.000,  48716.000,  48716.000
DZA,KM_VEH,   7696.000,   7696.000,   7702.333,   7660.333,   7617.667,   7515.667,   7659.000
DZA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
DZA,KM_VEH_TRUCK,  45550.333,  45550.333,  46297.667,  46838.667,  47526.333,  45041.667,  47693.000
ECU,KM_VEH,  19123.000,  19123.000,  20541.000,  21864.000,  20663.000,  20663.000,  20663.000
ECU,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ECU,KM_VEH_TRUCK,  22814.000,  22814.000,  36706.000,  39673.000,  38339.000,  38339.000,  38339.000
EGY,KM_VEH,   7696.000,   7696.000,   7702.333,   7660.333,   7617.667,   7515.667,   7659.000
EGY,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
EGY,KM_VEH_TRUCK,  45550.333,  45550.333,  46297.667,  46838.667,  47526.333,  45041.667,  47693.000
ERI,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
ERI,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ERI,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
ESH,KM_VEH,   7696.000,   7696.000,   7702.333,   7660.333,   7617.667,   7515.667,   7659.000
ESH,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ESH,KM_VEH_TRUCK,  45550.333,  45550.333,  46297.667,  46838.667,  47526.333,  45041.667,  47693.000
ESP,KM_VEH,  21930.000,  21930.000,  24426.000,  25258.000,  25713.000,  20430.000,  27365.000
ESP,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ESP,KM_VEH_TRUCK,  98643.000,  98643.000, 100303.000, 103331.000, 103694.000,  76667.000,  95941.000
EST,KM_VEH,   1463.000,   1463.000,   1643.000,   1982.000,   1994.000,   1720.000,   1886.000
EST,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
EST,KM_VEH_TRUCK,   8670.000,   8670.000,   8876.000,   8924.000,   9397.000,   9263.000,   9393.000
ETH,KM_VEH,   2451.000,   2451.000,   3245.000,   3647.000,   3880.000,   4310.000,   4310.000
ETH,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ETH,KM_VEH_TRUCK,    843.000,    843.000,   1089.000,   1273.000,   1388.000,   1481.000,   1481.000
FIN,KM_VEH,   6925.000,   6925.000,   7129.000,   7245.000,   7248.000,   7000.000,   7293.000
FIN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
FIN,KM_VEH_TRUCK,  30416.000,  30416.000,  30740.000,  30923.000,  30943.000,  28613.000,  28986.000
FJI,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
